"Gene"	"effect.size"	"p.value"	"q.value"
"AT5G47990"	"AT5G47990"	0.927730035073645	0	0
"AT4G22513"	"AT4G22513"	0.747180151881361	0	0
"AT1G13609"	"AT1G13609"	0.735239953139489	0	0
"AT4G22517"	"AT4G22517"	0.731102663760737	0	0
"AT5G48000"	"AT5G48000"	0.669386491180104	0	0
"AT4G22485"	"AT4G22485"	0.66400817497074	0	0
"AT5G03545"	"AT5G03545"	0.663019400060907	0	0
"AT4G22505"	"AT4G22505"	0.659889847155219	0	0
"AT4G22520"	"AT4G22520"	0.648506495673873	0	0
"AT2G42540"	"AT2G42540"	0.636243649649504	0	0
"AT2G41240"	"AT2G41240"	0.621071953502134	0	0
"AT5G38930"	"AT5G38930"	0.603546639803772	0	0
"AT4G22490"	"AT4G22490"	0.567788572433094	0	0
"AT2G14580"	"AT2G14580"	0.565676402266727	0	0
"AT5G55450"	"AT5G55450"	0.558225828660714	0	0
"AT3G05727"	"AT3G05727"	0.541803622191633	0	0
"AT5G48010"	"AT5G48010"	0.514700210040004	0	0
"AT5G64110"	"AT5G64110"	0.505179263479853	0	0
"AT2G14247"	"AT2G14247"	0.463099828203025	0	0
"AT4G35770"	"AT4G35770"	0.449297374530792	0	0
"AT1G47395"	"AT1G47395"	0.40975363034695	0	0
"AT1G52000"	"AT1G52000"	0.400139939029045	0	0
"AT3G12900"	"AT3G12900"	0.398984515115822	0	0
"AT4G36850"	"AT4G36850"	0.383919523420706	0	0
"AT2G01520"	"AT2G01520"	0.376578985257173	0	0
"AT1G77120"	"AT1G77120"	0.369553665376344	0	0
"AT5G38940"	"AT5G38940"	0.352288705771043	0	0
"AT4G30140"	"AT4G30140"	0.318269767346053	0	0
"AT4G29030"	"AT4G29030"	0.309532027226264	0	0
"AT5G02760"	"AT5G02760"	0.292491043507004	0	0
"AT4G12490"	"AT4G12490"	0.285071735490492	0	0
"AT5G20150"	"AT5G20150"	0.275503675573219	0	0
"AT3G56970"	"AT3G56970"	0.270206303935086	0	0
"AT5G64570"	"AT5G64570"	0.27005637333387	0	0
"AT5G33370"	"AT5G33370"	0.269631729800484	2.01172412062078e-13	2.82431025607153e-11
"AT4G33610"	"AT4G33610"	0.261033178599585	1.88737914186277e-14	2.89308259888393e-12
"AT5G58390"	"AT5G58390"	0.259990179403015	2.27288188270336e-11	2.60635356045571e-09
"AT2G30766"	"AT2G30766"	0.256040326686099	0	0
"AT3G14620"	"AT3G14620"	0.242993323552185	0	0
"AT5G59320"	"AT5G59320"	0.235465144474501	0	0
"AT5G40590"	"AT5G40590"	0.231008519685324	3.77475828372553e-15	5.96888620401315e-13
"AT2G41100"	"AT2G41100"	0.225813931157814	0	0
"AT4G31940"	"AT4G31940"	0.222903547256959	0	0
"AT3G56980"	"AT3G56980"	0.216728560404845	5.55111512312578e-16	9.3695338628759e-14
"AT5G56080"	"AT5G56080"	0.200327832612807	0	0
"AT3G28220"	"AT3G28220"	0.196740389231942	0	0
"AT1G01580"	"AT1G01580"	0.191085382463603	0	0
"AT5G05250"	"AT5G05250"	0.184855117262007	2.84491319391122e-11	3.18927507454734e-09
"AT3G13610"	"AT3G13610"	0.176247186569669	0	0
"AT1G43800"	"AT1G43800"	0.175740522731751	2.38170457278475e-06	0.000157612185428954
"AT1G28710"	"AT1G28710"	0.175420813058079	2.47759590621399e-11	2.79837937617644e-09
"AT2G05380"	"AT2G05380"	0.174851383467648	0	0
"AT5G37990"	"AT5G37990"	0.171838621116745	0	0
"AT4G32480"	"AT4G32480"	0.168420530686491	5.43232125949089e-13	7.41857545091565e-11
"AT1G26250"	"AT1G26250"	0.162461759045028	6.28319618556361e-12	7.61178815318843e-10
"AT1G52400"	"AT1G52400"	0.16127660776954	0	0
"AT1G49860"	"AT1G49860"	0.161198070181617	0	0
"AT3G17790"	"AT3G17790"	0.158484422472878	1.49880108324396e-14	2.32113297654544e-12
"AT5G52640"	"AT5G52640"	0.157586252289192	8.10351785673902e-13	1.06781618635029e-10
"AT5G02780"	"AT5G02780"	0.157515797049232	0	0
"AT5G42530"	"AT5G42530"	0.153331270499909	0	0
"AT2G39530"	"AT2G39530"	0.150500749623908	0	0
"AT1G62500"	"AT1G62500"	0.146769470551464	2.69240185701847e-12	3.3425835286059e-10
"AT5G64120"	"AT5G64120"	0.146570170967844	0	0
"AT2G16060"	"AT2G16060"	0.139752191606531	2.88657986402541e-15	4.66260244273007e-13
"AT4G14630"	"AT4G14630"	0.139293353093093	2.39697151016571e-13	3.33400981719531e-11
"AT3G08770"	"AT3G08770"	0.137029948451204	0	0
"AT5G26260"	"AT5G26260"	0.127677126853509	1.0369483049999e-13	1.52716053310867e-11
"AT4G12480"	"AT4G12480"	0.126663834958483	0	0
"AT4G19690"	"AT4G19690"	0.126263420029465	0	0
"AT5G45070"	"AT5G45070"	0.124425805682628	1.13131726209303e-13	1.64996581661763e-11
"AT5G57560"	"AT5G57560"	0.122537656020225	6.66133814775094e-16	1.09963320500565e-13
"AT5G51720"	"AT5G51720"	0.120460511957735	0	0
"AT5G42800"	"AT5G42800"	0.119532244112965	4.44089209850063e-16	7.58080467087232e-14
"AT5G07690"	"AT5G07690"	0.109335940619678	1.25868204747803e-11	1.50062870771548e-09
"ATCG00340"	"ATCG00340"	0.107308938081343	2.22044604925031e-16	3.87855122695793e-14
"ATCG00350"	"ATCG00350"	0.10658583417469	6.66133814775094e-16	1.09963320500565e-13
"AT1G02205"	"AT1G02205"	0.10482558377168	1.21152157583904e-06	8.34838399644679e-05
"AT5G47500"	"AT5G47500"	0.103289748988683	7.21644966006352e-15	1.12922402909869e-12
"AT3G20380"	"AT3G20380"	0.102833844295959	4.56373780099995e-07	3.3442180120303e-05
"AT3G16150"	"AT3G16150"	0.102439732037542	3.08994651021521e-06	0.000199215349684347
"AT4G22880"	"AT4G22880"	0.102224350409272	9.61453139325386e-13	1.24508181542637e-10
"AT5G09530"	"AT5G09530"	0.0989516680837973	1.13951263980283e-08	9.84690014897242e-07
"ATCG00530"	"ATCG00530"	0.0985144929919895	5.89493606151237e-08	4.81270269108906e-06
"AT1G66100"	"AT1G66100"	0.0960346670143478	9.99200722162641e-16	1.63152100525296e-13
"AT1G25098"	"AT1G25098"	0.095527048031318	1.55563051329466e-09	1.46972840067373e-07
"ATCG00270"	"ATCG00270"	0.0941083682309786	2.00506278247303e-13	2.82431025607153e-11
"AT1G73120"	"AT1G73120"	0.0939316089404029	1.29896093881143e-13	1.8762491560409e-11
"AT5G54510"	"AT5G54510"	0.093362045234293	8.92371254668234e-08	7.01842983645351e-06
"AT3G25770"	"AT3G25770"	0.0912356708779989	3.03967917503201e-09	2.78427198581285e-07
"AT5G54060"	"AT5G54060"	0.0882716597878362	7.12161593396932e-06	0.000431374655484222
"AT1G11080"	"AT1G11080"	0.0870318905260902	1.59728215609611e-06	0.000108571821488126
"AT4G12510"	"AT4G12510"	0.0865290627668202	1.37667655053519e-12	1.75257924933387e-10
"AT5G53450"	"AT5G53450"	0.0854219047818153	2.12011630473796e-10	2.16655694760365e-08
"AT2G38530"	"AT2G38530"	0.0822360602800782	2.83650880561481e-12	3.46423051040209e-10
"AT5G23940"	"AT5G23940"	0.0822211708211008	7.97419164033641e-09	7.13025635840081e-07
"ATCG00280"	"ATCG00280"	0.0819929180655277	2.22480922573709e-11	2.57085262992481e-09
"ATCG00330"	"ATCG00330"	0.0807343638682801	3.29161142786916e-11	3.63577844628312e-09
"ATCG00720"	"ATCG00720"	0.0793230394179745	1.53402268665559e-09	1.45848663284432e-07
